"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.009943","1,536,425","0.009821","1,537,226","-0.000120","[-0.000341, +0.000101]","-0.012085","[-3.4327%, +1.0157%]","0.286923","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.012197","73,542","0.011924","73,969","-0.000261","[-0.001374, +0.000853]","-0.021363","[-11.2686%, +6.996%]","0.646596","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.008451","132,651","0.008839","132,262","0.000395","[-0.00031, +0.0011]","0.046769","[-3.6648%, +13.0186%]","0.271818","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.025859","27,921","0.025984","27,748","0.000080","[-0.00256, +0.00272]","0.003096","[-9.8983%, +10.5174%]","0.952605","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.023813","24,356","0.022165","24,273","-0.001648","[-0.004312, +0.001016]","-0.069220","[-18.109%, +4.265%]","0.225230","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.005795","985,065","0.005555","985,834","-0.000242","[-0.000452, -0.000032]","-0.041791","[-7.7982%, -0.5599%]","0.023625","Significant","","",""
"ads_revenue","Metric","N/A","","mean","3.193816","1,536,425","3.172521","1,537,226","-0.019657","[-0.0601, +0.020787]","-0.006155","[-1.8818%, +0.6508%]","0.340792","-","0.102546","-0.000631","-0.000792"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.022317","1,262,540","0.023349","1,263,201","0.000948","[-0.001281, +0.003176]","0.042466","[-5.7381%, +14.2312%]","0.404511","-","0.000874","0.000037","0.000049"
"ad_product_bn","Dimension","ads_revenue","","mean","0.185047","1,262,540","0.179142","1,263,201","-0.006014","[-0.014342, +0.002315]","-0.032497","[-7.7507%, +1.2512%]","0.157035","-","0.007244","-0.000235","-0.000313"
"ad_product_pm","Dimension","ads_revenue","","mean","0.317392","1,262,540","0.316967","1,263,201","-0.000804","[-0.002777, +0.00117]","-0.002532","[-0.875%, +0.3687%]","0.424859","-","0.012424","-0.000031","-0.000042"
"ad_product_sb","Dimension","ads_revenue","","mean","0.025715","1,262,540","0.025900","1,263,201","0.000411","[-0.000373, +0.001194]","0.015975","[-1.4487%, +4.6438%]","0.304015","-","0.001007","0.000016","0.000021"
"ad_product_sl","Dimension","ads_revenue","","mean","1.597484","1,262,540","1.596781","1,263,201","0.000125","[-0.00937, +0.009619]","0.000078","[-0.5865%, +0.6022%]","0.979432","-","0.062533","0.000005","0.000006"
"ad_product_sp","Dimension","ads_revenue","","mean","0.153960","1,262,540","0.152860","1,263,201","-0.001099","[-0.003516, +0.001318]","-0.007139","[-2.2838%, +0.8559%]","0.372734","-","0.006027","-0.000043","-0.000057"
"avg_dat_mins","Metric","N/A","","mean","1168.450500","1,377,398","1168.351935","1,377,695","0.030155","[-0.875954, +0.936265]","0.000026","[-0.075%, +0.0801%]","0.947993","-","0.087843","0.000002","0.002656"
"chex_ct_cancel_order","Metric","N/A","","mean","0.000783","1,367,277","0.000761","1,367,461","-0.000022","[-0.00006, +0.000016]","-0.027993","[-7.6259%, +2.0273%]","0.255647","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.870350","1,496,139","0.870625","1,496,316","0.000180","[-0.00029, +0.000651]","0.000207","[-0.0333%, +0.0748%]","0.452341","-","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.066805","1,496,139","0.066832","1,496,316","0.000011","[-0.000347, +0.000369]","0.000165","[-0.5188%, +0.5518%]","0.951767","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.924691","1,496,139","0.926832","1,496,316","0.002101","[+0.001757, +0.002444]","0.002272","[+0.1901%, +0.2643%]","0.000000","Significant","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.899993","8,109","0.899618","8,033","-0.000475","[-0.008565, +0.007615]","-0.000528","[-0.9516%, +0.8461%]","0.908413","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.000186","1,367,277","0.000186","1,367,461","0.000000","[-0.000015, +0.000015]","0.000596","[-7.9828%, +8.1021%]","0.988408","-","","",""
"chex_ct_payment_error","Metric","N/A","","mean","0.001868","1,367,277","0.001861","1,367,461","-0.000010","[-0.000085, +0.000066]","-0.005135","[-4.5408%, +3.5137%]","0.802647","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.922160","1,439,479","0.920372","1,442,838","-0.001664","[-0.002103, -0.001225]","-0.001804","[-0.228%, -0.1328%]","0.000000","Significant","","",""
"chex_ct_too_far_away","Metric","N/A","","mean","0.068520","1,496,139","0.068940","1,496,316","0.000391","[-0.000015, +0.000797]","0.005704","[-0.022%, +1.1628%]","0.059131","-","","",""
"cng_order_rate_nc","Metric","N/A","","mean","0.867257","1,536,425","0.866542","1,537,226","0.001043","[-0.003436, +0.005523]","0.001203","[-0.3962%, +0.6368%]","0.648014","-","0.091835","0.000110","0.000302"
"consumer_mto","Metric","N/A","","mean","0.087411","1,536,425","0.088087","1,537,226","0.000537","[-0.000633, +0.001707]","0.006143","[-0.7239%, +1.9525%]","0.368277","-","0.070093","0.000431","0.000445"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","7.436658","1,375,062","7.460790","1,375,552","0.020052","[+0.002819, +0.037285]","0.002696","[+0.0379%, +0.5014%]","0.022572","Significant","0.059125","0.000151","0.001186"
"consumers_mau","Metric","N/A","","mean","0.894975","1,536,425","0.894827","1,537,226","-0.000131","[-0.000787, +0.000526]","-0.000146","[-0.0879%, +0.0587%]","0.696109","-","0.059129","-0.000009","-0.000004"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006697","1,472,839","0.006784","1,473,326","0.000084","[+0.000007, +0.000161]","0.012517","[+0.1033%, +2.4%]","0.032652","Significant","0.477854","0.005503","0.000040"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.602564","71","0.653846","74","0.056496","[-0.098054, +0.211047]","0.093760","[-16.2729%, +35.0248%]","0.473703","-","0.000002","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005403","981,574","0.005461","982,246","0.000058","[-0.000044, +0.00016]","0.010735","[-0.8153%, +2.9623%]","0.265313","-","0.225351","0.001785","0.000013"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.000000","30","0.037037","27","0.037037","[-0.035554, +0.109628]","","[]","0.317311","-","0.000001","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.018930","600,023","0.019393","600,291","0.000462","[+0.000094, +0.000831]","0.024423","[+0.4972%, +4.3875%]","0.013859","Significant","0.060328","0.003803","0.000028"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003150","947,608","0.003268","948,618","0.000120","[-0.000005, +0.000244]","0.037985","[-0.1443%, +7.7414%]","0.058994","-","0.083292","0.001362","0.000010"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.285714","782","0.299008","781","0.013426","[-0.03278, +0.059632]","0.046992","[-11.473%, +20.8713%]","0.569008","-","0.000018","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.097246","2,196","0.091263","2,236","-0.005792","[-0.021827, +0.010243]","-0.059564","[-22.4455%, +10.5326%]","0.478939","-","0.000066","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003247","496,612","0.003432","496,921","0.000185","[+0.000031, +0.000339]","0.057061","[+0.9583%, +10.4539%]","0.018494","Significant","0.038475","0.000973","0.000007"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000042","1,498,236","0.000045","1,499,017","0.000003","[0, +0.000006]","0.069698","[-0.6186%, +14.5583%]","0.071830","-","0.433376","0.011780","0.000001"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000026","1,000,398","0.000026","1,004,258","0.000000","[-0.000008, +0.000008]","-0.007193","[-32.6882%, +31.2496%]","0.964824","-","0.053543","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000025","941,517","0.000024","942,282","-0.000001","[-0.000005, +0.000003]","-0.043837","[-21.5775%, +12.81%]","0.617275","-","0.065680","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000003","903,683","0.000003","904,989","0.000001","[-0.000001, +0.000002]","0.222922","[-36.547%, +81.1313%]","0.457745","-","0.070084","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.000307","1,054,725","0.000323","1,055,135","0.000016","[-0.000017, +0.000048]","0.050749","[-5.5985%, +15.7483%]","0.351385","-","0.041288","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","954,179","0.000000","954,881","0.000000","[0, 0]","","[]","1.000000","-","0.040395","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000063","425,907","0.000045","427,244","-0.000018","[-0.000036, +0.000001]","-0.279503","[-57.7907%, +1.89%]","0.066384","-","0.006739","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","885,774","0.000000","886,316","0.000000","[0, 0]","-0.500863","[-230.2587%, +130.0861%]","0.585855","-","0.049397","0.000000","0.000000"
"cx_app_quality_hitch_android","Metric","N/A","","mean","0.077463","1,521,650","0.077917","1,522,793","0.000477","[+0.000153, +0.0008]","0.006152","[+0.1977%, +1.0326%]","0.003873","Significant","0.442707","0.002660","0.000211"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.055636","1,171,189","0.055871","1,174,759","0.000242","[-0.000361, +0.000844]","0.004342","[-0.648%, +1.5164%]","0.431629","-","0.025273","0.000077","0.000006"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_android","","mean","0.122800","1,124,570","0.122685","1,124,955","0.000016","[-0.000645, +0.000677]","0.000130","[-0.5249%, +0.5509%]","0.962139","-","0.063784","0.000013","0.000001"
"page_dimension_cx_item_page","Dimension","cx_app_quality_hitch_android","","mean","0.042741","1,160,362","0.042861","1,161,740","0.000076","[-0.000392, +0.000545]","0.001781","[-0.918%, +1.2742%]","0.750154","-","0.069214","0.000066","0.000005"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_hitch_android","","mean","0.105253","1,223,331","0.109033","1,224,095","0.003801","[+0.003002, +0.0046]","0.036112","[+2.852%, +4.3704%]","0.000000","Significant","0.044266","0.002110","0.000169"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.057437","1,110,747","0.057268","1,111,255","-0.000121","[-0.000484, +0.000242]","-0.002107","[-0.8422%, +0.4208%]","0.513105","-","0.067559","-0.000102","-0.000008"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_hitch_android","","mean","0.054637","791,779","0.054944","793,492","0.000238","[-0.000351, +0.000827]","0.004349","[-0.6432%, +1.513%]","0.429144","-","0.016521","0.000049","0.000004"
"page_dimension_cx_store_page","Dimension","cx_app_quality_hitch_android","","mean","0.089597","1,210,348","0.089863","1,211,290","0.000140","[-0.000356, +0.000637]","0.001565","[-0.3978%, +0.7107%]","0.580012","-","0.098723","0.000173","0.000014"
"cx_app_quality_page_action_error_android","Metric","N/A","","mean","0.001323","1,516,338","0.001315","1,516,990","-0.000007","[-0.000042, +0.000027]","-0.005363","[-3.1513%, +2.0786%]","0.687691","-","0.489068","-0.002060","-0.000003"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_page_action_error_android","","mean","0.000000","30","0.000000","37","0.000000","[0, 0]","","[]","1.000000","-","0.000001","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.001358","1,186,606","0.001351","1,187,525","-0.000007","[-0.000061, +0.000048]","-0.004888","[-4.4797%, +3.5021%]","0.810298","-","0.253042","-0.000964","-0.000002"
"action_dimension_cx_create_address","Dimension","cx_app_quality_page_action_error_android","","mean","0.000000","271","0.000000","241","0.000000","[0, 0]","","[]","1.000000","-","0.000004","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.000322","786,487","0.000299","786,803","-0.000023","[-0.000061, +0.000015]","-0.071789","[-18.9687%, +4.6108%]","0.232692","-","0.063850","-0.000846","-0.000001"
"action_dimension_cx_place_order","Dimension","cx_app_quality_page_action_error_android","","mean","0.001994","1,147,617","0.002011","1,148,442","0.000017","[-0.000107, +0.000141]","0.008678","[-5.3549%, +7.0905%]","0.784601","-","0.101748","0.001011","0.000002"
"action_dimension_cx_set_address","Dimension","cx_app_quality_page_action_error_android","","mean","0.000000","402","0.001894","449","0.001894","[-0.001811, +0.005598]","","[]","0.316359","-","0.000007","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_page_action_error_android","","mean","0.000560","1,330","0.001065","1,357","0.000519","[-0.001829, +0.002867]","0.927332","[-326.7089%, +512.1752%]","0.664781","-","0.000027","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_page_action_error_android","","mean","0.001054","594,534","0.001068","595,390","0.000014","[-0.000093, +0.00012]","0.013013","[-8.7815%, +11.384%]","0.800307","-","0.028836","0.000000","0.000000"
"cx_app_quality_page_load_error_android","Metric","N/A","","mean","0.001728","1,532,211","0.001709","1,533,113","-0.000019","[-0.000035, -0.000002]","-0.010740","[-2.029%, -0.119%]","0.027504","Significant","0.449554","-0.004155","-0.000008"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.002655","1,197,416","0.002616","1,200,963","-0.000039","[-0.000104, +0.000026]","-0.014608","[-3.9046%, +0.9831%]","0.241379","-","0.048148","-0.000919","-0.000002"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.003612","1,143,561","0.003581","1,144,118","-0.000031","[-0.000094, +0.000032]","-0.008706","[-2.6154%, +0.8742%]","0.328086","-","0.066839","-0.001029","-0.000002"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.001533","1,104,354","0.001486","1,106,306","-0.000047","[-0.000082, -0.000012]","-0.030599","[-5.3319%, -0.7879%]","0.008299","Significant","0.065593","-0.001505","-0.000003"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.002802","1,258,439","0.002766","1,259,170","-0.000036","[-0.000087, +0.000015]","-0.012777","[-3.0941%, +0.5387%]","0.167990","-","0.057529","-0.001008","-0.000002"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.000286","1,143,657","0.000289","1,144,243","0.000003","[-0.000015, +0.000022]","0.011065","[-5.354%, +7.5671%]","0.737102","-","0.088049","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.002647","586,407","0.002610","587,683","-0.000037","[-0.000198, +0.000123]","-0.014106","[-7.4844%, +4.6632%]","0.648974","-","0.006262","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_error_android","","mean","0.000664","1,094,459","0.000655","1,095,404","-0.000009","[-0.000027, +0.000009]","-0.013505","[-4.061%, +1.36%]","0.328792","-","0.075366","0.000000","0.000000"
"cx_app_quality_page_load_latency_android","Metric","N/A","","mean","0.021555","1,498,236","0.021471","1,499,017","0.000008","[-0.000135, +0.000151]","0.000368","[-0.6271%, +0.7006%]","0.913544","-","0.433376","0.000153","0.000003"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.010015","1,000,398","0.010096","1,004,258","0.000080","[-0.000068, +0.000229]","0.008030","[-0.6772%, +2.2831%]","0.287664","-","0.053543","0.000198","0.000004"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.042322","941,517","0.042207","942,282","-0.000083","[-0.000474, +0.000308]","-0.001966","[-1.1203%, +0.7271%]","0.676572","-","0.065680","-0.000251","-0.000005"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.011828","903,683","0.011936","904,989","0.000113","[-0.000068, +0.000293]","0.009526","[-0.5753%, +2.4805%]","0.221702","-","0.070084","0.000362","0.000008"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.010041","1,054,725","0.010025","1,055,135","-0.000014","[-0.000163, +0.000134]","-0.001430","[-1.6212%, +1.3353%]","0.849668","-","0.041288","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.020988","954,179","0.020913","954,881","-0.000073","[-0.000355, +0.00021]","-0.003465","[-1.6938%, +1.0008%]","0.614252","-","0.040395","-0.000135","-0.000003"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.025320","425,907","0.025487","427,244","0.000143","[-0.000385, +0.000672]","0.005659","[-1.521%, +2.6529%]","0.595073","-","0.006739","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_latency_android","","mean","0.017634","885,774","0.017532","886,316","-0.000109","[-0.000345, +0.000128]","-0.006169","[-1.9575%, +0.7238%]","0.367154","-","0.049397","-0.000246","-0.000005"
"cx_app_quality_single_metric_android","Metric","N/A","","mean","0.108537","1,532,211","0.109052","1,533,113","0.000641","[+0.000207, +0.001076]","0.005907","[+0.1904%, +0.9911%]","0.003830","Significant","0.448301","0.002551","0.000288"
"cx_app_quality_single_metric_ios","Metric","N/A","","mean","0.022486","59,730","0.022156","59,994","-0.000130","[-0.000729, +0.000469]","-0.005783","[-3.2412%, +2.0846%]","0.670367","-","0.003869","0.000000","0.000000"
"cx_app_quality_single_metric_web","Metric","N/A","","mean","0.133101","81,661","0.133495","81,437","0.000487","[-0.002336, +0.003309]","0.003655","[-1.755%, +2.4861%]","0.735479","-","0.032731","0.000138","0.000016"
"dashpass_paid_balance","Metric","N/A","","mean","0.419367","1,536,425","0.420316","1,537,226","0.000139","[-0.000394, +0.000673]","0.000332","[-0.094%, +0.1604%]","0.608934","-","0.076455","0.000025","0.000012"
