"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","0.784140","803,451","0.787384","803,011","0.003035","[-0.000668, +0.006737]","0.003870","[-0.0852%, +0.8592%]","0.108185","-","0.147815","0.000572","0.001021"
"consumer_mto","Metric","N/A","","mean","0.082584","803,451","0.082311","803,011","0.000117","[-0.001187, +0.001421]","0.001415","[-1.4378%, +1.7207%]","0.860649","-","0.083485","0.000118","0.000166"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.985872","803,505","0.985906","803,047","0.000037","[-0.000325, +0.000399]","0.000037","[-0.033%, +0.0404%]","0.843216","-","0.043653","0.000000","0.000001"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.022896","803,451","0.022473","803,011","-0.000423","[-0.000894, +0.000048]","-0.018478","[-3.9038%, +0.2081%]","0.078144","-","0.037319","-0.000690","-0.000572"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.104495","501,290","0.104887","501,194","0.000411","[-0.000407, +0.001229]","0.003936","[-0.389%, +1.1762%]","0.324306","-","0.053165","0.000576","0.000022"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.112170","509,397","0.112509","509,343","0.000329","[-0.0005, +0.001158]","0.002932","[-0.4456%, +1.032%]","0.436668","-","0.053492","0.000425","0.000018"
